"Guillaume_1000_lines_1" "Guillaume_1000_lines_2" "Jean_1000_lines_1" "Jean_1000_lines_2"
"et" 4.68 4.36 4.66 3.62
"de" 2.78 2.38 2.14 1.88
"ne" 1.8 1.48 1.76 2.62
"la" 1.96 1.78 1.7 1.54
"en" 1.58 1.6 1.7 1.88
"que" 1.1 1.2 1.32 1.94
"qui" 1.88 1 1.48 1.2
"qu" 1.36 0.94 0.96 2.02
"il" 0.74 0.84 1.14 2.36
"le" 1.08 1.12 0.86 1.64
"l" 1.04 1.1 1.3 1.22
"si" 0.94 1.04 1.08 1.14
"à" 0.86 0.98 1.28 1.04
"s" 0.94 0.7 0.88 1.58
"d" 1.2 0.9 0.88 0.92
"les" 0.96 0.9 1.04 0.9
"n" 0.8 0.96 0.76 0.92
"est" 1.32 0.36 0.52 1.16
"par" 0.56 0.84 1.04 0.68
"bien" 0.78 0.72 0.68 0.76
"vous" 0.06 0.52 2.1 0.22
"a" 0.86 0.66 0.56 0.68
"se" 0.48 0.44 0.7 1.12
"li" 0.48 0.52 0.58 1.1
"car" 0.62 0.56 0.7 0.78
"sa" 0.78 0.5 0.7 0.54
"elle" 1 0.34 0.42 0.7
"ce" 0.46 0.72 0.6 0.66
"son" 0.76 0.4 0.56 0.58
"je" 0.62 1 0.46 0.08
"p" 0.56 0.54 0.52 0.5
"tout" 0.54 0.74 0.52 0.28
"ou" 0.44 0.16 0.5 0.88
"un" 0.48 0.66 0.4 0.42
"tant" 0.38 0.3 0.64 0.54
"plus" 0.3 0.8 0.24 0.5
"el" 0.64 0.18 0.36 0.54
"sans" 0.3 0.36 0.5 0.44
"me" 0.26 0.56 0.64 0.04
"une" 0.66 0.48 0.18 0.14
"moult" 0.6 0.54 0.14 0.16
"ses" 0.26 0.34 0.36 0.4
"ces" 0.16 0.36 0.64 0.18
"quant" 0.22 0.32 0.48 0.32
"ele" 0.56 0.28 0.16 0.32
"pour" 0.18 0.2 0.4 0.46
"mais" 0.28 0.16 0.36 0.4
"c" 0.56 0.28 0.1 0.24
"des" 0.22 0.34 0.36 0.26
"por" 0.16 0.2 0.44 0.38
"était" 0.32 0.72 0.1 0.02
"lors" 0.24 0.28 0.14 0.48
"m" 0.22 0.66 0.22 0.04
"faire" 0.3 0.2 0.26 0.34
"or" 0.14 0.12 0.68 0.16
"tous" 0.2 0.18 0.3 0.42
"fait" 0.22 0.2 0.34 0.32
"avoit" 0.38 0.56 0.1 0
"cum" 0.28 0.26 0.32 0.16
"lui" 0.12 0.12 0.26 0.52
"où" 0.28 0.34 0.22 0.16
"au" 0.34 0.3 0.12 0.2
"pas" 0.18 0.3 0.24 0.24
"lor" 0.12 0.18 0.14 0.5
"comme" 0.26 0.24 0.24 0.18
"ot" 0.18 0.54 0.1 0.04
"mès" 0.2 0.16 0.26 0.22
"soit" 0.18 0.06 0.1 0.5
"ils" 0.04 0.06 0.3 0.4
"leur" 0.12 0.16 0.26 0.26
"gens" 0.32 0.36 0.08 0.02
"grant" 0.34 0.14 0.14 0.16
"j" 0.18 0.52 0.04 0.04
"ni" 0.16 0.2 0.26 0.16
"quand" 0.12 0.22 0.3 0.14
"du" 0.1 0.26 0.2 0.2
"estre" 0.2 0.14 0.16 0.26
"estoit" 0.42 0.26 0.02 0
"ung" 0.26 0.32 0.06 0.06
"grand" 0.22 0.18 0.14 0.14
"puis" 0.14 0.26 0.14 0.14
"doit" 0.04 0 0.04 0.58
"dont" 0.18 0.06 0.3 0.12
"nul" 0.14 0.26 0.08 0.18
"cele" 0.28 0.04 0.16 0.16
"fu" 0.16 0.38 0.08 0.02
"tel" 0.1 0.08 0.16 0.28
"on" 0.12 0.22 0.14 0.12
"sur" 0.26 0.16 0.08 0.1
"toute" 0.18 0.1 0.16 0.16
"autre" 0.12 0.16 0.16 0.14
"déduit" 0 0.58 0 0
"i" 0.1 0.26 0.1 0.12
"amour" 0.1 0.06 0.2 0.2
"jamais" 0.14 0.08 0.08 0.26
"mon" 0.3 0.16 0.1 0
"robe" 0.3 0.14 0.12 0
"as" 0.14 0.06 0.16 0.18
"chose" 0.22 0.06 0.14 0.12
"cil" 0.04 0.08 0.18 0.24
"femme" 0.02 0.04 0.22 0.24
"rien" 0.22 0.06 0.1 0.14
"ains" 0.16 0.1 0.12 0.12
"comment" 0.04 0.18 0.18 0.1
"jà" 0.08 0.04 0.14 0.24
"peut" 0.12 0 0.1 0.28
"avec" 0.12 0.18 0.12 0.06
"trop" 0.14 0.08 0.1 0.16
"beau" 0.06 0.34 0.06 0
"coeur" 0.18 0.06 0.1 0.12
"puet" 0.1 0 0.14 0.22
"riens" 0.2 0.04 0.08 0.14
"terre" 0.16 0.14 0.12 0.04
"voir" 0.08 0.22 0.06 0.1
"avait" 0.16 0.14 0.1 0.04
"avoir" 0.16 0.04 0.04 0.2
"être" 0.06 0.1 0.12 0.16
"leurs" 0.12 0.06 0.08 0.18
"ont" 0.14 0.04 0.14 0.12
"cette" 0.18 0.12 0.08 0.04
"dans" 0.12 0.2 0.08 0.02
"fut" 0.12 0.12 0.12 0.06
"point" 0.12 0.04 0.16 0.1
"ainsi" 0.02 0.06 0.18 0.14
"amant" 0.04 0.12 0.16 0.08
"chanter" 0.12 0.28 0 0
"envie" 0.2 0.08 0.12 0
"non" 0.1 0.12 0.12 0.06
"nus" 0.14 0.04 0.08 0.14
"toujours" 0.1 0.04 0.06 0.2
"ai" 0.08 0.16 0.08 0.06
"fame" 0.02 0.08 0.12 0.16
"iert" 0.12 0.16 0.06 0.04
"moi" 0.08 0.08 0.2 0.02
"prendre" 0.18 0.04 0.06 0.1
"bon" 0.02 0.18 0.02 0.14
"dire" 0.02 0.1 0.06 0.18
"soi" 0.02 0.1 0.12 0.12
"sont" 0.06 0.04 0.2 0.06
"sunt" 0.1 0.08 0.1 0.08
"vie" 0.06 0.08 0.22 0
"vuet" 0 0 0.08 0.28
"dame" 0 0.18 0.1 0.06
"fois" 0.04 0.08 0.1 0.12
"mains" 0.2 0.06 0.04 0.04
"mie" 0.1 0.08 0.08 0.08
"pris" 0.08 0.14 0.06 0.06
"veut" 0.04 0 0.1 0.2
"vos" 0.04 0 0.3 0
"amors" 0.08 0.04 0.08 0.12
"avarice" 0.24 0 0.08 0
"encor" 0.08 0.06 0.06 0.12
"ge" 0.08 0.1 0.12 0.02
"près" 0.14 0.1 0 0.08
"tens" 0.26 0.06 0 0
"amie" 0.02 0.08 0.04 0.16
"cuer" 0.12 0.02 0.04 0.12
"dit" 0.08 0.1 0.08 0.04
"eût" 0.08 0.16 0.06 0
"maintes" 0.16 0.06 0 0.08
"mal" 0.04 0.04 0.08 0.14
"même" 0.12 0.02 0.12 0.04
"nous" 0.14 0.08 0.04 0.04
"quel" 0.02 0.1 0.14 0.04
"temps" 0.2 0.06 0.02 0.02
"vis" 0.2 0.04 0.04 0.02
"bel" 0.08 0.2 0 0
"corps" 0.06 0.08 0.04 0.1
"cors" 0.02 0.1 0.08 0.08
"joie" 0.12 0.14 0 0.02
"leu" 0.02 0.24 0 0.02
"oncques" 0.12 0.06 0.02 0.08
"riche" 0 0.2 0.04 0.04
"sachiés" 0.1 0.16 0.02 0
"sembloit" 0.2 0.06 0.02 0
"toutes" 0 0.06 0.12 0.1
"vers" 0.06 0.02 0.1 0.1
"voit" 0.16 0 0.04 0.08
"ami" 0 0.02 0.18 0.06
"amor" 0 0.02 0.14 0.1
"après" 0.12 0 0.02 0.12
"aux" 0.04 0.04 0.14 0.04
"belle" 0.04 0.1 0 0.12
"furent" 0.02 0.12 0.06 0.06
"homme" 0.06 0.12 0.02 0.06
"iere" 0.14 0.12 0 0
"mes" 0.12 0.06 0.08 0
"nulle" 0.08 0.04 0 0.14
"onques" 0.04 0.08 0.08 0.06
"vit" 0.06 0.12 0.02 0.06
"ainsinc" 0 0.06 0.1 0.08
"col" 0.04 0.08 0.12 0
"dieu" 0.06 0.1 0.04 0.04
"ensemble" 0.04 0.04 0.1 0.06
"fust" 0.1 0.06 0.06 0.02
"garde" 0.02 0.08 0.1 0.04
"karole" 0 0.24 0 0
"là" 0 0.14 0.02 0.08
"ma" 0.02 0.18 0.04 0
"maître" 0 0.04 0.16 0.04
"nuit" 0.16 0 0.04 0.04
"telle" 0.06 0.04 0.12 0.02
"vivre" 0 0 0.08 0.16
"y" 0.06 0.1 0.04 0.04
"ait" 0 0 0.04 0.18
"alors" 0.02 0.08 0.02 0.1
"amis" 0 0.06 0.08 0.08
"argent" 0.04 0 0.06 0.12
"bele" 0.04 0.14 0 0.04
"bonne" 0.04 0.06 0.08 0.04
"ci" 0.08 0.06 0.04 0.04
"douce" 0.02 0.16 0.02 0.02
"droit" 0.04 0.06 0.02 0.1
"entendre" 0.08 0 0.06 0.08
"face" 0.02 0.06 0.04 0.1
"font" 0.04 0.04 0.14 0
"garder" 0 0.02 0.04 0.16
"gent" 0.08 0.1 0.02 0.02
"grande" 0.12 0.06 0.04 0
"grans" 0.08 0.04 0.04 0.06
"ire" 0.08 0 0.08 0.06
"mur" 0.08 0.14 0 0
"oisiaus" 0.04 0.18 0 0
"onc" 0 0.08 0.04 0.1
"poi" 0.04 0.14 0 0.04
"sait" 0.06 0.02 0.06 0.08
"semble" 0.08 0 0.1 0.04
"sor" 0.02 0.04 0.12 0.04
"verger" 0.04 0.18 0 0
"aucun" 0.12 0.02 0.04 0.02
"aussi" 0.12 0.06 0.02 0
"avis" 0.1 0.08 0 0.02
"certes" 0.06 0.06 0.08 0
"ceste" 0 0.08 0.1 0.02
"chacun" 0.02 0.02 0.1 0.06
"contre" 0.02 0.04 0.04 0.1
"convoitise" 0.1 0 0.08 0.02
"cote" 0.12 0.04 0.04 0
"deux" 0.02 0.04 0.1 0.04
"duel" 0.12 0 0.06 0.02
"entr" 0 0.04 0.1 0.06
"eus" 0 0.02 0.1 0.08
"jour" 0.04 0.06 0.04 0.06
"nule" 0.06 0.1 0 0.04
"porte" 0.04 0.16 0 0
"rose" 0.16 0.02 0 0.02
"set" 0.02 0.02 0.06 0.1
"songe" 0.18 0 0.02 0
"songes" 0.14 0 0 0.06
"tantost" 0.02 0 0.08 0.1
"va" 0.12 0 0.04 0.04
"vergier" 0.02 0.18 0 0
"vient" 0.02 0.04 0.1 0.04
"visage" 0.12 0.06 0 0.02
"voire" 0 0 0.16 0.04
"vostre" 0 0 0.14 0.06
"autres" 0.04 0.12 0.02 0
"avant" 0.1 0 0.04 0.04
"beaux" 0 0.12 0 0.06
"biens" 0.1 0 0 0.08
"éust" 0.12 0.04 0.02 0
"gart" 0 0 0 0.18
"ici" 0.02 0.14 0 0.02
"jamès" 0 0.04 0.04 0.1
"jors" 0.06 0.02 0.02 0.08
"jusqu" 0.02 0.06 0.08 0.02
"mer" 0.06 0.04 0.08 0
"oiseaux" 0 0.18 0 0
"prise" 0.02 0.04 0.08 0.04
"puisse" 0 0 0.04 0.14
"quelque" 0.1 0 0 0.08
"quoi" 0.02 0.02 0.1 0.04
"sens" 0.06 0 0.02 0.1
"sera" 0 0.04 0.04 0.1
"seul" 0.04 0.06 0.02 0.06
"tire" 0 0.06 0.12 0
"uns" 0 0.16 0 0.02
"venir" 0.02 0.04 0 0.12
"vi" 0.12 0.06 0 0
"vint" 0 0.02 0.08 0.08
"ans" 0.14 0.02 0 0
"bouche" 0.02 0.1 0.04 0
"chapel" 0 0.12 0 0.04
"dès" 0 0.08 0.02 0.06
"devant" 0.02 0 0.08 0.06
"eux" 0 0 0.06 0.1
"fin" 0.04 0.02 0.08 0.02
"fine" 0.06 0.06 0.04 0
"mai" 0.16 0 0 0
"moins" 0.06 0 0.02 0.08
"néis" 0.02 0.02 0.06 0.06
"noble" 0.02 0.08 0 0.06
"oyseuse" 0 0.16 0 0
"parmi" 0.04 0.08 0.02 0.02
"pense" 0.08 0 0.02 0.06
"place" 0 0.02 0 0.14
"pût" 0.04 0 0.06 0.06
"semblant" 0.02 0.06 0.02 0.06
"sous" 0.08 0.04 0.04 0
"tendre" 0.04 0.06 0 0.06
"tot" 0.14 0.02 0 0
"vendre" 0 0.04 0.08 0.04
"ymage" 0.16 0 0 0
"âme" 0.04 0.02 0.02 0.06
"anciens" 0 0 0.08 0.06
"art" 0.1 0.02 0 0.02
"assemblée" 0 0.1 0.02 0.02
"autrement" 0.04 0 0.08 0.02
"biaus" 0.02 0.1 0 0.02
"celui" 0.06 0 0.02 0.06
"cest" 0 0.06 0.04 0.04
"cheveux" 0 0.08 0.06 0
"cuit" 0.06 0.06 0.02 0
"défendre" 0 0.02 0.06 0.06
"enfin" 0.04 0.08 0.02 0
"esté" 0.06 0.02 0.06 0
"fors" 0.06 0.02 0.02 0.04
"fort" 0.02 0 0.04 0.08
"gente" 0 0.14 0 0
"gré" 0.02 0.04 0.02 0.06
"haine" 0.1 0 0.04 0
"haut" 0.04 0.06 0.04 0
"hommes" 0 0.02 0.12 0
"jalousie" 0.02 0 0.1 0.02
"main" 0.04 0.1 0 0
"mener" 0 0.08 0.06 0
"mieux" 0 0.06 0.04 0.04
"pierres" 0.02 0 0.08 0.04
"saine" 0.04 0.06 0 0.04
"saint" 0 0 0.14 0
"simple" 0.04 0.04 0.04 0.02
"soudain" 0.04 0.02 0.08 0
"tient" 0 0 0.1 0.04
"tuit" 0.02 0 0.08 0.04
"aime" 0.06 0.02 0.04 0
"aler" 0.04 0 0.04 0.04
"aura" 0.02 0 0.02 0.08
"autrui" 0.12 0 0 0
"bat" 0 0 0.04 0.08
"beles" 0 0.06 0.04 0.02
"blanche" 0.04 0.08 0 0
"bras" 0 0 0.08 0.04
"chant" 0 0.12 0 0
"combien" 0 0 0.02 0.1
"conscience" 0 0 0.08 0.04
"corrous" 0.04 0 0.06 0.02
"cortoisie" 0 0.1 0 0.02
"courroux" 0.04 0 0.06 0.02
"dehors" 0.04 0.06 0.02 0
"deuil" 0.06 0 0.04 0.02
"deus" 0.04 0.02 0 0.06
"devise" 0.02 0.1 0 0
"dis" 0 0.1 0 0.02
"doux" 0.02 0.04 0.02 0.04
"dure" 0.1 0 0 0.02
"durement" 0.08 0.04 0 0
"encore" 0.02 0.08 0 0.02
"endroit" 0.02 0.06 0 0.04
"entre" 0 0.02 0.02 0.08
"espoir" 0 0 0.04 0.08
"estoient" 0 0.1 0.02 0
"étaient" 0.02 0.1 0 0
"firent" 0 0 0.04 0.08
"fist" 0 0.1 0 0.02
"fit" 0 0.1 0 0.02
"fol" 0.06 0 0.04 0.02
"force" 0.08 0 0.02 0.02
"gais" 0.06 0.06 0 0
"guichet" 0 0.12 0 0
"honte" 0.02 0 0.1 0
"iave" 0.12 0 0 0
"image" 0.12 0 0 0
"jor" 0.02 0.04 0.04 0.02
"karoler" 0.04 0.08 0 0
"lede" 0.06 0 0 0.06
"lieu" 0 0.1 0 0.02
"maîtresse" 0 0 0.08 0.04
"mort" 0.08 0.02 0 0.02
"nature" 0.06 0.02 0 0.04
"paradis" 0 0.12 0 0
"partout" 0.04 0.06 0 0.02
"pauvre" 0 0.04 0.02 0.06
"péust" 0.06 0.04 0.02 0
"plaine" 0.1 0.02 0 0
"plaire" 0.06 0 0.02 0.04
"premier" 0.02 0 0.04 0.06
"putain" 0 0 0.12 0
"querre" 0 0.02 0.06 0.04
"ribauds" 0 0 0.12 0
"roman" 0.12 0 0 0
"sache" 0 0.04 0.04 0.04
"saurait" 0.04 0.02 0.04 0.02
"semblait" 0.06 0.04 0.02 0
"séust" 0.04 0.04 0 0.04
"sot" 0.06 0.02 0.02 0.02
"tenir" 0 0.02 0.04 0.06
"tiengne" 0.04 0 0 0.08
"tote" 0.12 0 0 0
"venait" 0.02 0.06 0 0.04
"vielle" 0.02 0 0.06 0.04
"vodroit" 0 0 0.04 0.08
"voie" 0.02 0.06 0 0.04
"votre" 0 0.02 0.1 0
"yeux" 0.04 0.04 0.02 0.02
"air" 0 0.06 0.04 0
"arbres" 0 0.1 0 0
"assez" 0 0.1 0 0
"avez" 0 0.06 0.04 0
"belles" 0.02 0 0.06 0.02
"biau" 0 0.1 0 0
"bois" 0.04 0.04 0.02 0
"bonnes" 0 0.04 0 0.06
"céans" 0 0.04 0.04 0.02
"cent" 0.02 0.04 0.02 0.02
"cesse" 0.04 0.02 0.02 0.02
"chants" 0 0.1 0 0
"chat" 0 0 0 0.1
"chiens" 0.04 0 0.02 0.04
"colère" 0.02 0 0.08 0
"commande" 0.04 0 0.06 0
"compagnie" 0 0.08 0.02 0
"courtoisie" 0 0.1 0 0
"coveitise" 0.1 0 0 0
"cuers" 0.04 0 0.04 0.02
"cuide" 0.02 0 0.02 0.06
"dessus" 0.04 0.02 0.02 0.02
"dirai" 0 0.06 0.04 0
"donner" 0.04 0 0.02 0.04
"dous" 0.02 0.04 0 0.04
"dur" 0.06 0 0 0.04
"elles" 0.02 0.04 0.02 0.02
"enclose" 0.08 0 0 0.02
"ert" 0.04 0.04 0 0.02
"esprit" 0.04 0.02 0 0.04
